trait_id,trait_label,pgs_id,variants_number
MONDO_0006626,diabetic neuropathy,PGS018734,669
MONDO_0006629,osteoarthritis,PGS002728,44
MONDO_0006644,alcoholic liver cirrhosis,PGS001777,3
MONDO_0006814,iritis,PGS000966,1
MONDO_0006816,arthropathy,PGS019682,5
MONDO_0006953,Rh isoimmunization,PGS001868,30
MONDO_0007009|MONDO_0008171,ureterolithiasis|nephrolithiasis,PGS001250,341
MONDO_0007079,alcohol dependence,PGS018961,15
MONDO_0007147,obstructive sleep apnea syndrome,PGS003858,6
MONDO_0007179,autoimmune disease,PGS002580,206
MONDO_0007254,breast cancer,PGS018530,3475
MONDO_0007319,chondrocalcinosis 2,PGS018816,7370
MONDO_0007576,esophageal cancer,PGS018475,5
MONDO_0007642,isolated agenesis of gallbladder,PGS019395,94
MONDO_0007699,Hashimoto thyroiditis,PGS005270,55
MONDO_0007886,uterine corpus leiomyoma,PGS001032,161
MONDO_0007915,systemic lupus erythematosus,PGS003757,10
MONDO_0008315,prostate cancer,PGS003418,7
MONDO_0008375,retinal detachment,PGS001137,321
MONDO_0008383,rheumatoid arthritis,PGS001311,3
MONDO_0008420,seborrheic keratosis,PGS001140,1368
MONDO_0008661,vitiligo,PGS000760,42
MONDO_0009387,familial lipoprotein lipase deficiency,PGS018806,26
MONDO_0009693,plasma cell myeloma,PGS000654,21
MONDO_0009891,acquired polycythemia vera,PGS001810,67
MONDO_0010030,Sjogren syndrome,PGS001308,7
MONDO_0010138,thyrotoxicosis,PGS001042,226
MONDO_0010811,benign prostatic hyperplasia,PGS001338,1223
MONDO_0011122,obesity disorder,PGS003400,97
MONDO_0011429,juvenile idiopathic arthritis,PGS000114,26
MONDO_0011849,psoriatic arthritis,PGS000343,5
MONDO_0011962,endometrial cancer,PGS002300,19
MONDO_0012672,cholelithiasis,PGS012582,13
MONDO_0013209,metabolic dysfunction-associated steatotic liver disease,PGS000872,5
MONDO_0013600,insomnia,PGS003320,147
MONDO_0015075,thyroid gland carcinoma,PGS000633,5
MONDO_0015129,chronic primary adrenal insufficiency,PGS004239,14
MONDO_0015263,Brugada syndrome,PGS000737,3
MONDO_0015486,keratoconus,PGS002292,36
MONDO_0015722,congenital vitamin K-dependent coagulation factors deficiency,PGS001826,45
MONDO_0015925,interstitial lung disease,PGS001251,57
MONDO_0016158,narcolepsy-cataplexy syndrome,PGS000757,5
MONDO_0017376,reactive arthritis,PGS001110,6
MONDO_0017604,marginal zone lymphoma,PGS003451,2
MONDO_0018102,corneal dystrophy,PGS001835,38
MONDO_0018177,glioblastoma,PGS003384,910
MONDO_0018905,diffuse large B-cell lymphoma,PGS003454,5
MONDO_0018906,follicular lymphoma,PGS002304,6
MONDO_0018908,non-Hodgkin lymphoma,PGS000642,10
MONDO_0019086,carcinoma of esophagus,PGS005160,11
MONDO_0019254,inborn disorder of purine or pyrimidine metabolism,PGS018839,89
MONDO_0019338,sarcoidosis,PGS000922,12
MONDO_0019432,rheumatoid factor-negative juvenile idiopathic arthritis,PGS000326,12
MONDO_0019433,oligoarticular juvenile idiopathic arthritis,PGS000325,21
MONDO_0019437,enthesitis-related juvenile idiopathic arthritis,PGS000324,138
MONDO_0019735,polymyalgia rheumatica,PGS001051,69
MONDO_0020283,uveitis,PGS019061,20
MONDO_0020804,basal cell carcinoma,PGS000450,8
MONDO_0021040,pancreatic neoplasm,PGS003742,19
MONDO_0021042,glioma,PGS000155,19
MONDO_0021042|MONDO_0021211,glioma|brain neoplasm,PGS000781,5
MONDO_0021068,ovarian neoplasm,PGS000547,6
MONDO_0021100,breast neoplasm,PGS019537,7018
MONDO_0021107,narcolepsy,PGS000926,4194
MONDO_0021115,luminal B breast carcinoma,PGS000214,330
MONDO_0021116,luminal A breast carcinoma,PGS000212,330
MONDO_0021146,headache disorder,PGS001928,5709
MONDO_0021148,female reproductive system neoplasm,PGS000543,8
MONDO_0021187,hyperlipidemia,PGS018811,594
MONDO_0021211,brain neoplasm,PGS003737,26
MONDO_0021315,malignant tumor of nasopharynx,PGS018470,211
MONDO_0021398|MONDO_0060766,polyp of rectum|anal polyp,PGS001859,789
MONDO_0021698,alcohol-related disorders,PGS018956,30
MONDO_0022394,cervical intraepithelial neoplasia,PGS018550,21
MONDO_0024331,colorectal carcinoma,PGS003386,61
MONDO_0024355,respiratory tract infectious disorder,PGS000925,402
MONDO_0024431,bilirubin metabolism disease,PGS001824,22
MONDO_0024431|MONDO_0037821,bilirubin metabolism disease|porphyrin metabolism disease,PGS000924,5
MONDO_0024644,myocardial ischemia,PGS000962,2168
MONDO_0024647,urolithiasis,PGS001864,5599
MONDO_0024881,secondary malignant neoplasm,PGS018600,1
MONDO_0026045,prurigo nodularis,PGS004324,6314
MONDO_0043765,presbycusis,PGS000763,4270
MONDO_0056798,disorder of appendix,PGS001853,19
MONDO_0100096,COVID-19,PGS002272,6
MONDO_0100280,Waldenstrom macroglobulinemia,PGS003452,2
OBA_0000173,urinary volume,PGS019473,2608
OBA_0002272,reticulocyte amount,PGS000989,6251
OBA_0002313,strand of hair color,PGS001097,21
OBA_0003277,platelet volume,PGS000179,654
OBA_0003460,erythrocyte volume,PGS000176,685
OBA_0003747,glomerular filtration rate,PGS005318,49
OBA_0003747|OBA_1001005,glomerular filtration rate|creatine level,PGS003250,108
OBA_0005494,aging rate,PGS001072,39
OBA_1000110,bone tissue density,PGS000122,33
OBA_1000840,alcohol consumption quality,PGS002826,19
OBA_1000968,vitamin D level,PGS003180,5
OBA_1000983,Thyroid stimulating hormone level,PGS012585,59
OBA_1001005,creatine level,PGS003245,3503
OBA_1001010,thyroxine level,PGS004907,31
OBA_1001015,folic acid level,PGS001153,5
OBA_1001085,waist circumference,PGS019956,91
OBA_1001085|PATO_0000383,waist circumference|female,PGS000828,149
OBA_1001085|PATO_0000384,waist circumference|male,PGS000827,113
OBA_1001086,QRS duration,PGS000736,26
OBA_1001087,heart rate,PGS000300,80
OBA_2040171,sleep duration trait,PGS003764,78
OBA_2045215,menstrual cycle attribute,PGS001913,339
OBA_2045221,bowel opening frequency,PGS001376,845
OBA_2045224,visceral adipose tissue quantity,PGS000844,518
OBA_2045237,dentate gyrus volume,PGS003594,12
OBA_2045244,hippocampal formation volume,PGS003653,19
OBA_2050005,parasubiculum volume,PGS003698,1050
OBA_2050015,kidney volume,PGS019479,2076
OBA_2050024,subiculum volume,PGS003717,15
OBA_2050043,hippocampal fissure volume,PGS003646,3822
OBA_2050049,presubiculum volume,PGS003705,98
OBA_2050050,hippocampus molecular layer volume,PGS003686,6
OBA_2050062,serum alanine aminotransferase amount,PGS003342,51
OBA_2050084,serum IgE amount,PGS000315,7
OBA_2050095,urine potassium amount,PGS000693,2423
OBA_2050116,smoking behavior trait,PGS001388,1
OBA_2050117,reproductive behavior trait,PGS002585,12
OBA_2050130,insulin-like protein level,PGS002295,413
OBA_2050200,prostate specific antigen amount,PGS005107,111
OBA_VT0000188,blood glucose amount,PGS002925,13
OBA_VT0000217,leukocyte quantity,PGS000191,636
OBA_VT0000254,cerebrospinal fluid amount,PGS001070,880
OBA_VT0001253,body height,PGS003837,49
OBA_VT0001560,blood insulin amount,PGS000307,12
OBA_VT0002460,blood immunoglobulin amount,PGS001772,158
OBA_VT0003564,insulin secretion trait,PGS000871,14
OBA_VT0005265,blood urea nitrogen amount,PGS019792,7043
OBA_VT0005372,life span determination trait,PGS002795,4
OBA_VT0005416,blood protein amount,PGS001081,9
OBA_VT0010046,fatty acid amount,PGS012572,163
